
0	1	0	1
0	1	2	3
0	1	4	5
0	1	6	7
0	1	8	9
0	1	10	11
0	1	12	13
0	1	14	15
0	1	16	17
0	1	18	19
0	1	20	21
0	1	22	23
0	1	24	25
0	1	26	27
0	1	28	29
0	1	30	31
0	1	32	33
0	1	34	35
0	1	36	37
0	1	38	39
0	1	40	41
0	1	42	43
0	1	44	45
0	1	46	47
0	1	48	49
0	1	50	51
0	1	52	53
0	1	54	55
0	1	56	57
0	1	58	59
0	1	60	61
0	1	62	63
0	1	64	65
0	1	66	67
0	1	68	69
0	1	70	71
0	1	72	73
0	1	74	75
0	1	76	77
0	1	78	79
0	1	80	81
0	1	82	83
0	1	84	85
0	1	86	87
0	1	88	89
0	1	90	91
0	1	92	93
0	1	94	95
0	1	96	97
0	1	98	99
0	1	100	101
0	1	102	103
0	1	104	105
0	1	106	107
0	1	108	109
0	1	110	111
0	1	112	113
0	1	114	115
0	1	116	117
0	1	118	119
